,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
0,0.0,2.29,1.848,0.0,1.281,0.0,2.405,0.7,0.0,0.0,1.5290000000000001,0.47100000000000003,5.352,6.89,0.0,4.5,0.0,0.0,0.8809999999999999,0.705,0.0,0.0,0.0,0.757,0.995,1.514,0.0,0.99999999999998
1,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.8809999999999999,0.0,0.795,1.5519999999999998,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.8809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.238,0.9808054145659154
2,1.4480000000000002,0.0,0.0,1.976,0.0,0.0,14.167,1.062,0.0,0.0,0.028999999999999998,0.5329999999999999,31.546999999999997,38.904,5.381,1.6,2.209,0.433,0.0,0.762,0.9570000000000001,0.0,0.848,5.29,5.343,1.681,0.005,0.9999999999999891
3,0.0,0.01,1.19,0.69,0.0,0.0,15.276,0.0,0.0,0.0,0.0,0.0,22.076,33.628,5.9239999999999995,8.648,2.767,0.0,0.0,0.0,0.429,0.0,0.0,1.114,5.013999999999999,2.324,2.414,0.9999999999999991
5,0.0,3.324,0.0,0.0,0.0,0.0,6.747999999999999,0.405,0.033,0.0,1.1520000000000001,0.0,4.757,6.486000000000001,0.0,0.0,0.0,0.0,1.2,0.47100000000000003,0.0,0.0,1.61,0.0,0.0,0.6709999999999999,0.0,0.9999999999999731
6,0.0,0.0,2.2430000000000003,0.0,0.0,2.048,0.924,0.0,0.124,0.662,0.0,0.0,13.314,8.805,1.495,0.0,3.267,0.0,0.0,0.0,0.414,0.0,0.0,0.0,0.871,0.0,0.0,0.9999999999976179
8,0.0,1.5190000000000001,0.0,0.0,0.0,0.0,0.0,0.619,0.0,0.0,0.0,0.0,3.6,17.524,0.0,0.0,0.0,0.0,0.0,0.452,1.69,0.0,0.69,0.0,3.181,0.848,0.0,0.9998503224153859
9,1.0759999999999998,0.381,1.033,0.0,0.0,0.0,0.5670000000000001,0.971,1.143,0.0,0.0,0.0,6.457000000000001,29.895,1.743,0.848,0.0,0.0,0.81,0.805,1.538,2.171,1.524,0.0,0.0,0.0,2.1430000000000002,0.9999402599953257
10,0.0,1.729,0.0,0.562,0.0,0.0,1.776,0.0,0.0,0.5379999999999999,0.0,0.0,3.867,9.381,3.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752,0.348,0.9999999999999627
11,0.0,0.429,0.0,0.0,0.0,0.7759999999999999,1.505,0.0,0.0,0.981,0.0,0.0,6.229,6.627999999999999,0.652,1.671,0.0,0.0,0.0,0.7709999999999999,0.467,0.0,1.9569999999999999,0.0,0.0,5.295,0.0,0.9999999999998574
12,0.0,1.41,0.0,0.0,0.79,0.595,4.681,0.0,0.0,0.981,0.0,0.295,4.548,20.733,1.0859999999999999,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.6759999999999999,0.733,3.9810000000000003,0.0,1.2670000000000001,0.9999999999506981
14,0.0,0.0,0.0,0.0,0.0,0.595,0.0,0.0,0.805,0.0,0.0,1.186,4.081,4.962,2.0380000000000003,1.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.9999999999997451
15,0.0,0.0,1.857,0.0,1.0759999999999998,2.6710000000000003,5.9,0.0,0.0,0.0,0.0,0.44799999999999995,16.552,35.580999999999996,4.452,0.99,2.695,0.0,0.738,0.0,0.0,0.633,1.024,2.4859999999999998,2.333,2.01,0.0,0.999999999999706
16,1.0190000000000001,4.248,0.0,0.0,0.0,0.0,1.295,0.0,0.0,0.648,0.0,1.5759999999999998,1.733,4.948,1.557,0.581,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998089038
17,0.0,3.0669999999999997,0.0,0.0,0.35700000000000004,0.0,1.0759999999999998,0.0,0.614,0.662,0.0,0.0,8.505,12.981,0.0,0.0,1.671,0.0,0.0,0.0,0.033,0.062,0.33299999999999996,1.8519999999999999,2.133,0.605,1.9380000000000002,0.9999999999999032
18,2.405,2.195,0.0,1.5519999999999998,0.91,0.0,1.786,0.0,0.0,0.0,0.0,0.0,3.909,10.367,1.3519999999999999,1.524,0.305,0.0,0.0,0.99,0.0,0.9329999999999999,1.99,1.89,2.957,0.0,1.79,0.9999999999999973
19,1.71,1.452,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.09,0.51,0.0,98.62299999999999,0.0,0.8240000000000001,0.0,1.786,2.5810000000000004,0.89,0.0,0.0,0.0,1.624,1.571,1.867,0.0,8.002005439724491e-05
20,1.205,2.938,2.033,0.0,0.0,0.0,1.5759999999999998,0.586,0.0,0.0,1.357,0.28600000000000003,0.0,7.537999999999999,0.0,0.0,0.0,0.738,1.4240000000000002,0.0,0.0,0.0,1.157,0.0,0.0,1.067,0.0,0.9999999634835757
21,0.0,1.01,0.424,0.0,0.486,0.0,1.062,0.6859999999999999,0.271,0.61,0.0,0.0,3.819,7.819,0.8809999999999999,0.0,2.224,0.89,0.0,0.0,0.5379999999999999,0.0,0.0,0.0,0.0,2.0,0.0,0.9999999997493092
23,0.914,0.0,0.0,0.124,0.0,0.7290000000000001,4.176,2.352,0.0,0.0,0.0,0.0,4.2860000000000005,14.409,0.529,0.0,0.0,1.662,0.0,0.0,0.0,0.7809999999999999,1.043,0.0,0.114,2.405,0.0,0.9999999999992872
24,0.0,0.0,0.35700000000000004,0.0,0.0,0.0,3.576,1.133,0.0,0.7759999999999999,0.171,2.7710000000000004,10.286,13.175999999999998,0.648,0.0,0.0,1.31,0.0,0.0,0.0,1.376,0.0,1.476,3.452,0.0,0.0,0.9999999999991476
25,0.0,0.33799999999999997,0.0,0.0,0.0,0.0,1.7380000000000002,0.0,0.0,0.0,0.0,0.529,26.219,47.718999999999994,1.9569999999999999,2.4859999999999998,5.195,0.452,0.0,0.0,1.124,1.4569999999999999,0.0,0.067,0.0,6.195,0.414,0.9999999996991018
26,0.0,0.0,0.0,1.01,0.0,0.0,6.013999999999999,0.33299999999999996,0.633,0.462,0.0,0.0,15.024000000000001,24.933000000000003,0.0,0.0,0.795,0.0,0.0,2.79,0.7290000000000001,0.6709999999999999,0.0,0.457,2.8760000000000003,0.562,0.295,0.9999999999513689
27,0.0,2.195,0.0,0.0,0.0,0.0,0.0,0.5479999999999999,0.0,0.0,0.5329999999999999,0.59,1.4380000000000002,4.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3330000000000002,0.5,0.0,0.9999999993681667
